Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
TH6,NPTH,Top,NPMTH_TOOLING,1673.228,1476.378,0,TOOLING HOLE NON-PLATATED 1.152MM
TH5,NPTH,Top,NPMTH_TOOLING,236.22,118.11,0,TOOLING HOLE NON-PLATATED 1.152MM
C2,10nF,Top,CAPC1005X70N,1136.41,1286.762,90,CAP CER 10000PF 16V X7R 0402
C16,0.1uF,Top,CAPC1005X70N,712.598,667.323,180,CAP CER 0.1UF 10V X5R 0402
R15,10K,Top,RESC1005X37N,576.772,532.48,90,RES SMD 10K OHM 1% 1/16W 0402
J3,4POS_2.54MM,Top,HDR_1x4_2.54MM,1513.386,78.74,270,CONN HEADER VERT 4POS 2.54MM
TH4,NPTH-M2,Top,NPMTH-M2,1791.339,1476.378,0,MOUNTING HOLE NON-PLATATED 2MM
TH3,NPTH-M2,Top,NPMTH-M2,118.11,1476.378,0,MOUNTING HOLE NON-PLATATED 2MM
TH2,NPTH-M2,Top,NPMTH-M2,1791.339,118.11,0,MOUNTING HOLE NON-PLATATED 2MM
TH1,NPTH-M2,Top,NPMTH-M2,118.11,118.11,0,MOUNTING HOLE NON-PLATATED 2MM
R11,10K,Top,RESC1005X37N,1141.732,732.284,270,RES SMD 10K OHM 1% 1/16W 0402
R10,10K,Top,RESC1005X37N,1157.48,606.299,90,RES SMD 10K OHM 1% 1/16W 0402
M3,CSD16327Q3,Top,8-POWERTDFN,300.886,991.142,270,MOSFET N-CH 25V 60A 8VSON
M2,CSD16327Q3,Top,8-POWERTDFN,300.886,833.661,270,MOSFET N-CH 25V 60A 8VSON
U6,LSM6DSO32TR,Top,FP-LGA-14L-DM00249496-MFG,713.091,528.543,180,SENSOR IMU 14-PIN LGA T/R
U5,BMP581,Top,10-WFLGA,978.346,604.321,0,SENSOR 125kPa Barometric 10-Pin LGA
U3,ESP32-S3-MINI-1-N8,Top,XCVR_ESP32-S3-MINI-1-N8,1604.331,533.465,270,"SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
R19,10K,Top,RESC1005X37N,1024.882,514.764,180,RES SMD 10K OHM 1% 1/16W 0402
R16,10K,Top,RESC1005X37N,1100.394,606.299,90,RES SMD 10K OHM 1% 1/16W 0402
U4,BQ29700DSER,Top,WSON,149.606,1062.992,90,IC BATT PROT LI-ION 1CELL 6WSON
U2,TPS61230ARNSR,Top,FP-RNS0007A-MFG,1033.465,1300,180,IC REG BOOST ADJ 6A 7VQFN
U1,TL1963A-33DCYR,Top,DCY0004A_N,849.409,909.449,0,IC REG LIN 3.3V 1.5A SOT-223-4
SW2,PTS645SH50SMTR92LFS,Top,FP-PTS645SH50SMTR92LFS-MFG,472.441,149.606,0,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SH50SMTR92LFS,Top,FP-PTS645SH50SMTR92LFS-MFG,938.976,147.638,0,SWITCH TACTILE SPST-NO 0.05A 12V
R20,12m 1% 1W,Top,RES_1206,147.674,848.449,0,RES 0.012 OHM 1% 1W 1206
R18,10K,Top,RESC1005X37N,856.299,531.496,270,RES SMD 10K OHM 1% 1/16W 0402
R17,2.2K,Top,RESC1005X37N,62.992,1062.992,90,RES 2.2K OHM 1% 1/16W 0402
R14,330,Top,RESC1005X37N,157.48,1271.653,180,RES 330 OHM 1% 1/16W 0402
R13,2.2K,Top,RESC1005X37N,1305.118,1103.622,270,RES 2.2K OHM 1% 1/16W 0402
R12,2.2K,Top,RESC1005X37N,1308.071,987.481,270,RES 2.2K OHM 1% 1/16W 0402
R9,10K,Top,RESC1005X37N,1226.181,165.354,270,RES SMD 10K OHM 1% 1/16W 0402
R8,100K,Top,RES_0603,1010.827,1142.716,90,RES 100K OHM 1% 1/10W 0603
R7,5.1K,Top,RESC1005X37N,446.85,584.646,90,RES 5.1K OHM 1% 1/16W 0402
R6,5.1K,Top,RESC1005X37N,441.929,333.661,270,RES 5.1K OHM 1% 1/16W 0402
R5,100K,Top,RES_0603,485.236,788.386,180,RES 100K OHM 1% 1/10W 0603
R4,100K,Top,RES_0603,153.543,1354.331,0,RES 100K OHM 1% 1/10W 0603
R3,316k,Top,RES_0603,1117.126,1182.087,0,RES 316K OHM 1% 1/10W 0603
R2,2.2K,Top,RESC1005X37N,1437.008,1437.008,180,RES 2.2K OHM 1% 1/16W 0402
R1,2.2K,Top,RESC1005X37N,1437.008,1515.748,180,RES 2.2K OHM 1% 1/16W 0402
M1,DMP2045U-7,Top,SOT23-3,516.732,1169.291,90,MOSFET P-CH 20V 4.3A SOT23
L1,1uH,Top,COIL-XFL4020_V,875.984,1243.11,0,IND 1UH 11A 11.9 MOHM SMD
J4,JST-PH-2.0MM,Top,JST-S2B-PH-K-S_V,344.488,1339.567,180,CONN HEADER R/A 2POS 2MM
J2,JST-XH-2.5MM,Top,JST-S3B-XH-A(LF)(SN)_V,1516.732,1187.992,90,CONN JST-XH 3 POS 2.5mm Solder RA Side Entry Thru-Hole Box
J1,217179-0001,Top,FP-2171790001-MFG,147.264,501.692,270,CONN RCP USB2.0 TYP C 24P SMD RA
D9,AQ3045-01ETG,Top,SOD882,385.017,1184.667,90,TVS DIODE 5.3VWM 12VC SOD882
D8,GREEN,Top,LED0402G,1246.063,1103.622,270,LED YLW-GRN 0402 SMD
D7,RED,Top,LED0402G,1247.244,990.433,270,LED RED 0402 SMD
D6,AQ3045-01ETG,Top,SOD882,375.906,416.693,90,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,Top,SOD882,375.906,501.693,270,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,Top,SOD882,417.323,711.614,0,TVS DIODE 5.3VWM 12VC SOD882
D3,RED,Top,LED0402G,1535.433,1437.008,180,LED RED 0402 SMD
D2,RED,Top,LED0402G,1536.417,1515.748,180,LED RED 0402 SMD
D1,MBR0520LT1G,Top,FP-425-04-IPC_B,523.622,1043.307,180,DIODE SCHOTTKY 20V 500MA SOD123
C17,0.1uF,Top,FP-CC0603-DA-IPC_B,157.48,1173.228,180,CAP CER 0.1UF 100V X7R 0603
C15,0.1uF,Top,CAPC1005X70N,972.441,700.787,180,CAP CER 0.1UF 10V X5R 0402
C14,0.1uF,Top,CAPC1005X70N,703.74,148.032,90,CAP CER 0.1UF 10V X5R 0402
C13,1uF,Top,CAPC1005X70N,1167.126,165.354,90,CAP CER 1UF 16V X5R 0402
C12,0.1uF,Top,CAPC1005X70N,1745.563,898.016,180,CAP CER 0.1UF 10V X5R 0402
C11,10uF,Top,CAPC1005X70N,1667.807,898.016,0,CAP CER 10UF 10V X5R 0402
C10,22uF,Top,FP-GRM21B-0_2-e0_2_0_7-IPC_A,808.006,1424.347,270,CAP CER 22UF 10V X5R 0805
C9,47uF,Top,CAPAE5553X61M,620.079,1435.039,90,CAP ALUM 47UF 20% 35V SMD
C8,10uF,Top,CAPC1005X70N,650.591,839.567,270,CAP CER 10UF 10V X5R 0402
C7,10uF,Top,CAPC1005X70N,592.52,839.567,270,CAP CER 10UF 10V X5R 0402
C6,4.7uF,Top,CAPC1005X70N,657.48,973.425,90,CAP CER 4.7UF 10V X5R 0402
C5,22uF,Top,FP-GRM21B-0_2-e0_2_0_7-IPC_A,1027.559,1417.323,0,CAP CER 22UF 10V X5R 0805
C4,22uF,Top,FP-GRM21B-0_2-e0_2_0_7-IPC_A,1027.559,1527.559,0,CAP CER 22UF 10V X5R 0805
C3,10pF,Top,FP-CC0603-DA-IPC_B,1118.11,1104.331,0,CAP CER 10PF 50V C0G/NP0 0603
C1,0.1uF,Top,CAPC1005X70N,503.937,711.614,180,CAP CER 0.1UF 10V X5R 0402
